Level1,Level2,Level3,Level4,Citations
2008-2011,8,Why The Brain Separates Face Recognition From Object Recognition,Learning invariant representations and applications to face verification,0
2011-2014,9,Why The Brain Separates Face Recognition From Object Recognition,Learning invariant representations and applications to face verification,0
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,Statistical analysis of coupled time series with Kernel Cross-Spectral Density operators.,0.15
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,"B-test: A Non-parametric, Low Variance Kernel Two-sample Test",0.15
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,Fast Two-Sample Testing with Analytic Representations of Probability Measures,0.265
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,Interpretable Distribution Features with Maximum Testing Power,0.569
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,Multivariate tests of association based on univariate tests,0.144
2002-2005,11,Saliency Based on Information Maximization,Graph-Based Visual Saliency,0.194
2002-2005,11,Saliency Based on Information Maximization,Dynamic visual attention: searching for coding length increments,0.201
2005-2008,12,Saliency Based on Information Maximization,Graph-Based Visual Saliency,0.712
2005-2008,12,Saliency Based on Information Maximization,Dynamic visual attention: searching for coding length increments,30.314
1993-1996,13,A Variational Principle for Model-based Morphing,Example-Based Image Synthesis of Articulated Figures,0.167
1996-1999,0,A Variational Principle for Model-based Morphing,Example-Based Image Synthesis of Articulated Figures,0.138
1990-1993,1,Learning to categorize objects using temporal coherence,Learning Temporally Persistent Hierarchical Representations,0.051
1990-1993,1,Learning to categorize objects using temporal coherence,JPMAX: Learning to Recognize Moving Objects as a Model-fitting Problem,0
2008-2011,2,Neurometric function analysis of population codes,Evaluating neuronal codes for inference using Fisher information,0
2008-2011,2,Neurometric function analysis of population codes,Implicit encoding of prior probabilities in optimal neural populations,0.175
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Gaussian Process Models for Link Analysis and Transfer Learning,0.056
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Confidence Sets for Network Structure,0.189
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Random function priors for exchangeable arrays with applications to graphs and relational data,0.2
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Random function priors for exchangeable arrays with applications to graphs and relational data,9.727
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Stochastic blockmodel approximation of a graphon: Theory and consistent estimation,0.282
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Reducing the Rank in Relational Factorization Models by Including Observable Patterns,10.97
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Bayesian latent structure discovery from multi-neuron recordings,2.912
2008-2011,4,A concave regularization technique for sparse mixture models,On Algorithms for Sparse Multi-factor NMF,0.059
2011-2014,5,A concave regularization technique for sparse mixture models,On Algorithms for Sparse Multi-factor NMF,0.068
2005-2008,6,Supervised Topic Models,Latent Support Measure Machines for Bag-of-Words Data Classification,0.056
2008-2011,7,Neural Implementation of Hierarchical Bayesian Inference by Importance Sampling,Rational inference of relative preferences,0.175
1999-2002,8,Sampling Techniques for Kernel Methods,Hierarchical Eigensolver for Transition Matrices in Spectral Methods,0.134
1999-2002,8,Sampling Techniques for Kernel Methods,QUIC-SVD: Fast SVD Using Cosine Trees,0.061
2002-2005,9,Online Learning of Non-stationary Sequences,Nearly Tight Bounds for the Continuum-Armed Bandit Problem,0.359
1990-1993,10,Diffusion Approximations for the Constant Learning Rate Backpropagation Algorithm and Resistence to Local Minima,Asymptotics of Gradient-based Neural Network Training Algorithms,2.463
2011-2014,11,Robust learning of low-dimensional dynamics from large neural ensembles,Clustered factor analysis of multineuronal spike data,3.181
1993-1996,12,Examples of learning curves from a modified VC-formalism,MLP Can Provably Generalize Much Better than VC-bounds Indicate,1.679
2011-2014,13,Algorithm selection by rational metareasoning as a model of human strategy selection,Human Decision-Making under Limited Time,0.242
2014-2017,0,Algorithm selection by rational metareasoning as a model of human strategy selection,Human Decision-Making under Limited Time,4.161
2011-2014,1,Bayesian inference for low rank spatiotemporal neural receptive fields,On Prior Distributions and Approximate Inference for Structured Variables,0.156
2005-2008,2,Conditional mean field,Sequential Monte Carlo for Graphical Models,0.397
2005-2008,3,Progressive mixture rules are deviation suboptimal,Greedy Model Averaging,1.936
1999-2002,4,Laplacian Eigenmaps and Spectral Techniques for Embedding and Clustering,Locality Preserving Projections,3.458
2011-2014,5,One-shot learning by inverting a compositional causal process,Unsupervised Learning by Program Synthesis,0.077
2011-2014,5,One-shot learning by inverting a compositional causal process,Softstar: Heuristic-Guided Probabilistic Inference,0.161
2011-2014,5,One-shot learning by inverting a compositional causal process,Ladder Variational Autoencoders,2.965
2014-2017,6,Copula variational inference,Stein Variational Gradient Descent: A General Purpose Bayesian Inference Algorithm,0.343
2014-2017,6,Copula variational inference,Scaling Factorial Hidden Markov Models: Stochastic Variational Inference without Messages,0.097
2008-2011,7,Large Margin Multi-Task Metric Learning,Similarity Component Analysis,0.08
2011-2014,8,Sequence to Sequence Learning with Neural Networks,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation",2.055
2014-2017,9,Sequence to Sequence Learning with Neural Networks,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation",1.087
2011-2014,10,Learning Stochastic Inverses,Just-In-Time Learning for Fast and Flexible Inference,0.803
2005-2008,11,How SVMs can estimate quantiles and the median,Sparsity of SVMs that use the epsilon-insensitive loss,0.468
1993-1996,12,A Practical Monte Carlo Implementation of Bayesian Learning,Gaussian Processes for Regression,282.819
2008-2011,13,Spike timing-dependent plasticity as dynamic filter,Towards a learning-theoretic analysis of spike-timing dependent plasticity,10.027
2005-2008,0,Natural Actor-Critic for Road Traffic Optimisation,A Unifying Perspective of Parametric Policy Search Methods for Markov Decision Processes,0.474
2005-2008,1,A general agnostic active learning algorithm,Linear Classification and Selective Sampling Under Low Noise Conditions,1.09
2005-2008,1,A general agnostic active learning algorithm,Sufficient Conditions for Agnostic Active Learnable,0.2
2005-2008,1,A general agnostic active learning algorithm,Multi-View Active Learning in the Non-Realizable Case,0.344
2005-2008,1,A general agnostic active learning algorithm,Agnostic Active Learning Without Constraints,0.418
2005-2008,1,A general agnostic active learning algorithm,Active Learning with a Drifting Distribution,0.374
2005-2008,1,A general agnostic active learning algorithm,Lower Bounds for Passive and Active Learning,1.507
2005-2008,1,A general agnostic active learning algorithm,Agnostic Selective Classification,0.426
2005-2008,1,A general agnostic active learning algorithm,Active Learning Ranking from Pairwise Preferences with Almost Optimal Query Complexity,0.526
2005-2008,1,A general agnostic active learning algorithm,Auditing: Active Learning with Outcome-Dependent Query Costs,0.069
2005-2008,1,A general agnostic active learning algorithm,Statistical Active Learning Algorithms,0.057
2005-2008,1,A general agnostic active learning algorithm,Beyond Disagreement-Based Agnostic Active Learning,337.8
2005-2008,1,A general agnostic active learning algorithm,Active Regression by Stratification,7.1
2005-2008,1,A general agnostic active learning algorithm,Convergence Rates of Active Learning for Maximum Likelihood Estimation,397
2005-2008,1,A general agnostic active learning algorithm,Efficient and Parsimonious Agnostic Active Learning,0.103
2005-2008,1,A general agnostic active learning algorithm,Active Learning from Weak and Strong Labelers,0.673
2005-2008,1,A general agnostic active learning algorithm,Active Learning with Oracle Epiphany,0.82
2005-2008,1,A general agnostic active learning algorithm,Active Learning from Imperfect Labelers,4.426
2005-2008,1,A general agnostic active learning algorithm,Search Improves Label for Active Learning,0.12
2008-2011,2,Free energy score space,Documents as multiple overlapping windows into grids of counts,0.123
1987-1990,3,An Optimality Principle for Unsupervised Learning,Unsupervised Learning of Mixtures of Multiple Causes in Binary Data,1.26
2011-2014,4,Near-optimal sample compression for nearest neighbors,Active Nearest-Neighbor Learning in Metric Spaces,0.323
2014-2017,5,Near-optimal sample compression for nearest neighbors,Active Nearest-Neighbor Learning in Metric Spaces,15.364
1999-2002,6,Structure Learning in Human Causal Induction,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,1.305
1999-2002,6,Structure Learning in Human Causal Induction,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,0.494
1993-1996,7,A Charge-Based CMOS Parallel Analog Vector Quantizer,Stochastic Mixed-Signal VLSI Architecture for High-Dimensional Kernel Machines,0.685
2011-2014,8,Demixing odors - fast inference in olfaction,Fast Sampling-Based Inference in Balanced Neuronal Networks,12.475
2008-2011,9,Efficient Match Kernel between Sets of Features for Visual Recognition,Kernel Descriptors for Visual Recognition,0.208
2008-2011,9,Efficient Match Kernel between Sets of Features for Visual Recognition,Hierarchical Matching Pursuit for Image Classification: Architecture and Fast Algorithms,1.679
2014-2017,10,Optimal Tagging with Markov Chain Optimization,The Power of Optimization from Samples,19.577
2011-2014,11,Multivariate f-divergence Estimation With Confidence,"Nonparametric von Mises Estimators for Entropies, Divergences and Mutual Informations",0.06
2014-2017,12,Multivariate f-divergence Estimation With Confidence,"Nonparametric von Mises Estimators for Entropies, Divergences and Mutual Informations",104.4
2005-2008,13,Estimating divergence functionals and the likelihood ratio by penalized convex risk minimization,Convex Multiple-Instance Learning by Estimating Likelihood Ratio,413.3
2008-2011,0,Supervised Clustering,Orbit Regularization,40.3
2008-2011,0,Supervised Clustering,Expectation-Maximization for Learning Determinantal Point Processes,17.1
1993-1996,1,Separating Style and Content,Using matrices to model symbolic relationship,7.541
1993-1996,1,Separating Style and Content,What Are the Invariant Occlusive Components of Image Patches? A Probabilistic Generative Approach,3.39
1996-1999,2,Separating Style and Content,Using matrices to model symbolic relationship,28.709
1996-1999,2,Separating Style and Content,What Are the Invariant Occlusive Components of Image Patches? A Probabilistic Generative Approach,0.648
1999-2002,3,Learning Attractor Landscapes for Learning Motor Primitives,Probabilistic Movement Primitives,0.063
1999-2002,3,Learning Attractor Landscapes for Learning Motor Primitives,Model-Based Relative Entropy Stochastic Search,0.124
2002-2005,4,Learning Attractor Landscapes for Learning Motor Primitives,Probabilistic Movement Primitives,0.361
2002-2005,4,Learning Attractor Landscapes for Learning Motor Primitives,Model-Based Relative Entropy Stochastic Search,1.554
1999-2002,5,Motivated Reinforcement Learning,Reward Design via Online Gradient Ascent,0.444
2005-2008,6,Clustering appearance and shape by learning jigsaws,Nonparametric Bayesian Texture Learning and Synthesis,0.234
2005-2008,6,Clustering appearance and shape by learning jigsaws,Learned Region Sparsity and Diversity Also Predicts Visual Attention,24.105
2005-2008,7,Towards a general independent subspace analysis,A Kernel Statistical Test of Independence,13.553
1993-1996,8,Learning from Demonstration,Probabilistic Movement Primitives,1.041
1996-1999,9,Learning from Demonstration,Probabilistic Movement Primitives,0.29
2005-2008,10,Learning and using relational theories,Abstraction and Relational learning,0.335
2005-2008,10,Learning and using relational theories,Quantification and the language of thought,0.244
2005-2008,11,Statistical Analysis of Semi-Supervised Regression,Statistical Analysis of Semi-Supervised Learning: The Limit of Infinite Unlabelled Data,24
2005-2008,12,Collapsed Variational Inference for HDP,Online Learning of Nonparametric Mixture Models via Sequential Variational Approximation,206
2005-2008,12,Collapsed Variational Inference for HDP,Analysis of Brain States from Multi-Region LFP Time-Series,4
2008-2011,13,Crowdclustering,Semi-Crowdsourced Clustering: Generalizing Crowd Labeling by Robust Distance Metric Learning,22.4
2008-2011,13,Crowdclustering,Crowdsourced Clustering: Querying Edges vs Triangles,0.3
2011-2014,0,Crowdclustering,Semi-Crowdsourced Clustering: Generalizing Crowd Labeling by Robust Distance Metric Learning,6
2011-2014,0,Crowdclustering,Crowdsourced Clustering: Querying Edges vs Triangles,6.47
1990-1993,1,Training Neural Networks with Deficient Data,Combining Estimators Using Non-Constant Weighting Functions,5.864
1990-1993,1,Training Neural Networks with Deficient Data,Efficient Methods for Dealing with Missing Data in Supervised Learning,0.88
1993-1996,2,Training Neural Networks with Deficient Data,Combining Estimators Using Non-Constant Weighting Functions,0.15
1993-1996,2,Training Neural Networks with Deficient Data,Efficient Methods for Dealing with Missing Data in Supervised Learning,0.296
2008-2011,3,Learning Non-Linear Combinations of Kernels,Learning Kernels with Radiuses of Minimum Enclosing Balls,0.254
2008-2011,4,Rates of convergence for the cluster tree,Cluster Trees on Manifolds,0
2008-2011,4,Rates of convergence for the cluster tree,"Graphons, mergeons, and so on!",0
2008-2011,4,Rates of convergence for the cluster tree,Statistical Inference for Cluster Trees,0
1993-1996,5,Hidden Markov Decision Trees,Call-Based Fraud Detection in Mobile Communication Networks Using a Hierarchical Regime-Switching Model,0.074
1996-1999,6,Hidden Markov Decision Trees,Call-Based Fraud Detection in Mobile Communication Networks Using a Hierarchical Regime-Switching Model,0.476
2008-2011,7,Efficient Large-Scale Distributed Training of Conditional Maximum Entropy Models,Communication-Efficient Algorithms for Statistical Optimization,0.452
1993-1996,8,Gaussian Processes for Regression,Regression with Input-dependent Noise: A Gaussian Process Treatment,0.409
1993-1996,8,Gaussian Processes for Regression,Mean Field Methods for Classification with Gaussian Processes,0.053
1993-1996,8,Gaussian Processes for Regression,General Bounds on Bayes Errors for Regression with Gaussian Processes,0.445
1993-1996,8,Gaussian Processes for Regression,Efficient Approaches to Gaussian Process Classification,0.107
1993-1996,8,Gaussian Processes for Regression,"Bayesian Model Selection for Support Vector Machines, Gaussian Processes and Other Kernel Classifiers",0.159
1993-1996,8,Gaussian Processes for Regression,The Infinite Gaussian Mixture Model,0.664
1993-1996,8,Gaussian Processes for Regression,Predictive App roaches for Choosing Hyperparameters in Gaussian Processes,0.158
1993-1996,8,Gaussian Processes for Regression,Learning Curves for Gaussian Processes Regression: A Framework for Good Approximations,0.129
1993-1996,8,Gaussian Processes for Regression,Computing with Finite and Infinite Networks,0.052
1993-1996,8,Gaussian Processes for Regression,Infinite Mixtures of Gaussian Process Experts,0.26
1993-1996,8,Gaussian Processes for Regression,Bayesian Monte Carlo,12.147
1993-1996,8,Gaussian Processes for Regression,Gaussian Process Priors with Uncertain Inputs Application to Multiple-Step Ahead Time Series Forecasting,0.102
1993-1996,8,Gaussian Processes for Regression,Nonstationary Covariance Functions for Gaussian Process Regression,2.919
1993-1996,8,Gaussian Processes for Regression,Warped Gaussian Processes,0.612
1993-1996,8,Gaussian Processes for Regression,Fast Gaussian Process Regression using KD-Trees,0.156
1993-1996,8,Gaussian Processes for Regression,Sparse Gaussian Processes using Pseudo-inputs,0.351
1993-1996,8,Gaussian Processes for Regression,Bayesian Warped Gaussian Processes,0.078
1993-1996,8,Gaussian Processes for Regression,Bayesian optimization under mixed constraints  with a slack-variable augmented Lagrangian,1.854
2002-2005,9,Warped Gaussian Processes,Heavy-Tailed Process Priors for Selective Shrinkage,0.632
2002-2005,9,Warped Gaussian Processes,Copula Processes,0.793
2002-2005,9,Warped Gaussian Processes,Implicitly Constrained Gaussian Process Regression for Monocular Non-Rigid Pose Estimation,0.925
1999-2002,10,Online Learning with Kernels,Dual Space Gradient Descent for Online Learning,0.182
2002-2005,11,Non-linear CCA and PCA by Alignment of Local Models,The Infinite Hierarchical Factor Regression Model,0.615
2002-2005,12,Correlated Topic Models,Sparse Overcomplete Latent Variable Decomposition of Counts Data,0.115
2005-2008,13,Correlated Topic Models,Sparse Overcomplete Latent Variable Decomposition of Counts Data,0.233
2008-2011,0,Noisy Generalized Binary Search,Active Learning for Probabilistic Hypotheses Using the Maximum Gibbs Error Criterion,0.549
2011-2014,1,Streaming Variational Bayes,Coresets for Scalable Bayesian Logistic Regression,0.101
2005-2008,2,Improving on Expectation Propagation,Approximate inference in latent Gaussian-Markov models from continuous time observations,0.082
2008-2011,3,Improving on Expectation Propagation,Approximate inference in latent Gaussian-Markov models from continuous time observations,0.357
2014-2017,4,A class of network models recoverable by spectral clustering,Graph Clustering: Block-models and model free results,0.288
2002-2005,5,Confidence Intervals for the Area Under the ROC Curve,Learning to Rank with Nonsmooth Cost Functions,0.137
2005-2008,6,Mixed Membership Stochastic Blockmodels,Random function priors for exchangeable arrays with applications to graphs and relational data,0.215
2005-2008,6,Mixed Membership Stochastic Blockmodels,Random function priors for exchangeable arrays with applications to graphs and relational data,3.292
2005-2008,6,Mixed Membership Stochastic Blockmodels,Capturing Semantically Meaningful Word Dependencies with an Admixture of Poisson MRFs,0.084
2005-2008,6,Mixed Membership Stochastic Blockmodels,Reducing the Rank in Relational Factorization Models by Including Observable Patterns,0.209
2008-2011,7,Mixed Membership Stochastic Blockmodels,Random function priors for exchangeable arrays with applications to graphs and relational data,0.266
2008-2011,7,Mixed Membership Stochastic Blockmodels,Random function priors for exchangeable arrays with applications to graphs and relational data,0.536
2008-2011,7,Mixed Membership Stochastic Blockmodels,Capturing Semantically Meaningful Word Dependencies with an Admixture of Poisson MRFs,0.209
2008-2011,7,Mixed Membership Stochastic Blockmodels,Reducing the Rank in Relational Factorization Models by Including Observable Patterns,0.181
2011-2014,8,Deep content-based music recommendation,SoundNet: Learning Sound Representations from Unlabeled Video,0.068
2011-2014,8,Deep content-based music recommendation,Collaborative Recurrent Autoencoder: Recommend while Learning to Fill in the Blanks,0.063
2011-2014,9,Priors for Diversity in Generative Latent Variable Models,Expectation-Maximization for Learning Determinantal Point Processes,0.47
2002-2005,10,Coarse sample complexity bounds for active learning,Active learning for misspecified generalized linear models,1.792
2002-2005,10,Coarse sample complexity bounds for active learning,A general agnostic active learning algorithm,9.463
2002-2005,10,Coarse sample complexity bounds for active learning,Nearest-Neighbor-Based Active Learning for Rare Category Detection,0.379
2002-2005,10,Coarse sample complexity bounds for active learning,Sufficient Conditions for Agnostic Active Learnable,1.756
2002-2005,10,Coarse sample complexity bounds for active learning,Multi-View Active Learning in the Non-Realizable Case,0
2002-2005,10,Coarse sample complexity bounds for active learning,Agnostic Active Learning Without Constraints,16.4
2002-2005,10,Coarse sample complexity bounds for active learning,Near-Optimal Bayesian Active Learning with Noisy Observations,9.8
2002-2005,10,Coarse sample complexity bounds for active learning,Extensions of Generalized Binary Search to Group Identification and Exponential Costs,0.9
2002-2005,10,Coarse sample complexity bounds for active learning,Active Learning with a Drifting Distribution,0.8
2002-2005,10,Coarse sample complexity bounds for active learning,Active Learning Ranking from Pairwise Preferences with Almost Optimal Query Complexity,0.2
2002-2005,10,Coarse sample complexity bounds for active learning,Buy-in-Bulk Active Learning,0.6
2002-2005,10,Coarse sample complexity bounds for active learning,Statistical Active Learning Algorithms,26.9
2002-2005,10,Coarse sample complexity bounds for active learning,Beyond Disagreement-Based Agnostic Active Learning,0
